"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","visib","wdsp","fog","NUM_COLLISIONS"
"85",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,29.4,10,11.2,0,-0.130161642456839
"86",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,32.9,9.6,18,0,0.0592464471384691
"87",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,27.7,7.9,20.3,0,0.408156085866669
"88",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,34,9.7,6.5,0,-0.538884362109874
"89",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,31.3,9.8,9.1,0,-0.199943570202479
"90",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,31.6,10,6.2,0,-1.21676594592466
"91",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,38.3,9.3,14.6,0,0.84678534598212
"92",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,38,9.9,10.2,0,-1.70523944014414
"93",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,40.4,10,13.1,0,-1.56567558465286
"94",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.6,7,8.8,0,-0.209912417023285
"95",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,40.7,7.4,7.6,0,0.109090681242498
"96",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,41.3,10,5.9,0,0.458000319970698
"97",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,38.7,10,18.3,0,-0.977513622225325
"98",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,36.5,9.4,16,0,-1.92455407020187
"99",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,38.5,6.7,12.4,0,-1.70523944014414
"100",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,31.2,9.2,10.1,0,-2.43296525806296
"101",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,22.2,10,10.7,0,-0.947607081762908
"102",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,36.5,10,7.2,0,1.22560152517274
"103",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,38.8,8.8,12.3,0,-0.877825154017268
"104",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,42.1,9.9,20.3,0,-0.160068182919257
"105",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,27.4,10,17.4,0,-0.150099336098451
"106",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,33.5,10,8.3,0,0.258623383554583
"107",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,39.9,10,4.3,0,0.0592464471384691
"108",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,38.5,10,8.6,0,0.966411507831789
"109",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,37.8,10,11.6,0,-0.0304731742487823
"110",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,34.5,9.5,11.1,0,-1.42611172916158
"111",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,41.1,8.5,17.4,0,-0.229850110664897
"112",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,44,7.6,16.3,0,-1.00742016268774
"113",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,35,10,10.3,0,-0.967544775404519
"114",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,48.9,2.3,17.2,1,-0.349476272514565
"115",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,42.7,7.1,7.9,0,-1.23670363956627
"116",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,39,9.8,9.9,0,-0.0105354806071709
"117",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,43.8,5,11.8,0,-1.43608057598239
"118",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,29.2,8.5,12.6,1,5.60192527950645
"119",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.4,4.3,5.8,1,-2.25352601528846
"120",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,40.5,10,6.8,0,-0.568790902572291
"121",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,36.3,6.7,9.3,1,-0.279694344768925
"122",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,39.4,9.5,9.2,0,-0.947607081762908
"123",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,38.6,9.2,7.7,0,-0.309600885231342
"124",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,35.9,9.2,15.3,0,-1.14698401817902
"125",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,44.4,5.6,13.4,1,-0.847918613554851
"126",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,41,10,16.8,0,-2.38312102395893
"127",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,38.1,10,14.3,0,-0.688417064421959
"128",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,39.7,9.6,13.1,0,-2.22361947482604
"129",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,34.9,9.7,14.7,0,-0.189974723381674
"130",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,42.3,9.5,8,0,-0.827980919913239
"131",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,41.1,6.5,6,0,-0.160068182919257
"132",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,44.3,5.4,15.2,0,0.597564175461978
"133",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,39.7,10,7.2,0,-1.8049279083522
