"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"45",3,2016,1,12,2016-01-12,33,19.1,1015.4,10,7.9,14,18.2,50,19.9,0,0,637
"46",1,2016,1,31,2016-01-31,45,39,1014.8,8.6,12.5,17.1,24.1,50,34,0,0,532
"47",1,2015,1,18,2015-01-18,40,32.8,1021.4,9.2,13.4,25.1,31.1,50,14,0,0,961
"48",2,2017,1,2,2017-01-02,37.4,28.7,1032,10,7.1,12,15.6,50,26.1,0.03,0,449
"49",7,2017,1,14,2017-01-14,29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,0,495
"50",1,2013,1,20,2013-01-20,46.3,41.2,1010,7,14.9,20,26,50,43,0,0,393
"51",6,2017,1,13,2017-01-13,46.8,37.5,1022.8,7.2,12.6,21,25.1,50,37.9,0.39,0,604
"52",1,2019,1,20,2019-01-20,43.2,42.4,1012.4,2.8,17,27,36.9,52,28,0.61,1,411
"53",3,2014,1,7,2014-01-07,23.9,10.4,1009.6,9.4,17.6,28.9,41,52,15.1,0.12,0,491
"54",3,2015,1,13,2015-01-13,32.6,25.6,1028.5,8.4,16.3,22.9,28.9,52,26.1,0.82,0,613
"55",2,2015,1,12,2015-01-12,40.9,35.6,1028.3,7.7,6.3,14,29.9,52,21,0,1,580
"56",2,2016,1,4,2016-01-04,38.2,27.4,1011.5,10,13.5,24.1,31.1,52,34,0,0,601
"57",6,2019,1,25,2019-01-25,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,0,666
"58",1,2016,1,3,2016-01-03,44.4,29.4,1010.4,10,15.5,22.9,33,52,34,0,0,432
"59",5,2019,1,24,2019-01-24,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,0,592
"60",2,2014,1,6,2014-01-06,46.3,45.1,1007,2.5,14.8,20,26,52,41,0.04,1,518
"61",7,2018,1,13,2018-01-13,45.4,43.2,1007.7,3,19.2,33,45.1,52,33.1,0.41,1,603
"62",3,2019,1,1,2019-01-01,47.4,41.6,1009.2,5.4,18.3,29.9,41,54,39.9,0.84,1,430
"63",5,2013,1,31,2013-01-31,46.5,40.3,995.5,5.9,23.1,28,39,54,39,0.02,1,592
"64",1,2015,1,4,2015-01-04,48.6,46.9,1015.4,1.9,15.5,22.9,28.9,54,30,0.21,1,381
"65",4,2016,1,20,2016-01-20,29.4,11.2,1014.4,10,18.9,27,36.9,37,21.9,0,0,623
"66",4,2018,1,31,2018-01-31,25,14.8,1019.2,10,13.1,18.1,25.1,37,19.9,0.18,0,596
"67",6,2019,1,11,2019-01-11,28.6,13.4,1013.9,10,14.2,18.1,26,37,26.1,0,0,644
"68",5,2016,1,21,2016-01-21,30.9,10.8,1015.8,10,14.5,20,27,37,25,0,0,666
"69",1,2015,1,11,2015-01-11,27.1,12.1,1035.5,10,8.8,13,17.1,37,19.9,0,0,341
"70",4,2015,1,14,2015-01-14,32.1,24,1031.2,8,9.6,13,22.9,37,26.1,0.15,0,506
"71",6,2015,1,23,2015-01-23,31.6,20.4,1022.8,10,10.4,15.9,20.67,39,27,0.09,0,598
"72",5,2015,1,22,2015-01-22,35.5,30.5,1021,8.4,8.4,12,15.6,39,25,0.13,0,508
"73",4,2015,1,21,2015-01-21,32.3,17.7,1018.1,10,7.9,13,16.9,39,25,0,0,495
"74",4,2018,1,17,2018-01-17,36,35.2,1024.3,5.5,7.7,14,18.2,41,28,0.17,1,611
"75",1,2014,1,26,2014-01-26,26.8,15.4,1004.7,9.4,17.8,22.9,29.9,41,21,0.03,0,465
"76",7,2014,1,25,2014-01-25,32,23,1011.2,8.5,17,27,35.9,41,10.9,0,0,475
"77",6,2013,1,4,2013-01-04,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,0,505
