"","day","mo","temp","NUM_COLLISIONS"
"264",5,2,39.6,-0.429227047081011
"265",6,2,40.2,1.92342080262914
"266",4,2,41.5,-0.738261298525988
"267",1,2,46.3,-1.19682825228305
"268",2,2,45,-0.558822055751485
"269",7,2,35.9,0.0492776003176634
"270",6,2,44.8,-0.170037029740062
"271",2,2,47.6,1.1657884442479
"272",3,2,43.2,1.11594421014387
"273",1,2,46.8,-1.17689055864144
"274",5,2,51.6,0.0991218344216919
"275",6,2,47.5,0.577626481820366
"276",2,2,47.8,0.168903762167332
"277",2,2,41.8,0.158934915346526
"278",6,2,40.8,0.0791841407800805
"279",2,2,28.9,0.786972265057286
"280",1,2,35.4,-1.08717093725419
"281",7,2,21.9,-0.818012073092434
"282",3,2,25.9,-0.718323604884377
"283",4,2,32.6,0.109090681242498
"284",1,2,30.3,-1.48592481008642
"285",5,2,30.4,-0.299632038410537
"286",1,2,30.9,-1.51583135054883
"287",7,2,35.2,-0.827980919913239
"288",6,2,31.8,0.806909958698897
"289",1,2,29.8,-1.34636095459514
"290",7,2,35.6,-0.917700541300491
"291",1,2,36,-0.798074379450822
"292",7,2,36.3,-0.778136685809211
"293",7,2,32,-0.877825154017268
"294",3,2,32.5,0.138997221704915
"295",2,2,29.4,-0.249787804306508
"296",1,2,35.6,-1.59558212511528
"297",4,2,36.1,-0.289663191589731
"298",7,2,34.8,-1.59558212511528
"299",2,2,37.5,-1.08717093725419
"300",5,2,39.1,-0.110223948815228
"301",5,2,36.6,0.318436464479418
"302",7,2,19.8,-1.20679709910386
"303",3,2,36.5,0.238685689912972
"304",6,2,40.6,0.617501869103589
"305",4,2,38.7,-0.249787804306508
"306",1,2,39.3,-1.814896755173
"307",3,2,35,-0.618635136676319
"308",3,2,41.4,-1.00742016268774
"309",1,2,39.4,-1.26661018002869
"310",2,2,36.5,3.5981870685245
"311",7,2,32.3,-0.459133587543428
"312",7,2,31.5,-0.588728596213902
"313",5,2,37.7,-0.130161642456839
"314",6,2,40.2,-1.22673479274547
"315",1,2,47.8,-1.60555097193608
"316",2,2,41.9,-1.70523944014414
"317",6,2,38.6,0.0492776003176634
"318",4,2,38.7,-0.887794000838074
"319",4,2,40.6,-1.21676594592466
"320",2,2,38.7,1.00628689511501
"321",1,2,42.6,-1.72517713378575
"322",2,2,42.1,-0.419258200260205
"323",1,2,40.5,-1.9743983043059
"324",2,2,37.5,-0.299632038410537
"325",5,2,35.5,0.647408409566006
"326",2,2,42.5,1.06609997603985
"327",3,2,38.1,0.268592230375389
"328",2,2,38.1,-1.6354575123985
"329",7,2,37,-0.289663191589731
"330",5,2,41.4,-0.818012073092434
"331",4,2,41.1,0.398187239045863
"332",4,2,44.1,-0.489040128005845
"333",1,2,42,-1.84480329563542
"334",3,2,40.3,0.318436464479418
"335",3,2,30,-0.538884362109874
"336",3,2,44.2,-0.0803174083528109
"337",7,2,42.3,-0.588728596213902
"338",2,2,39.7,0.517813400895532
"339",6,2,37.5,-0.508977821647457
"340",1,2,42.8,-0.897762847658879
"341",4,2,45.9,0.0193710598552462
"342",5,2,37,-1.51583135054883
"343",5,2,43.1,-0.489040128005845
"344",7,2,42.8,-0.439195893901817
"345",5,2,44,-0.180005876560868
"346",6,2,39.8,0.168903762167332
"347",1,2,42.5,-1.50586250372803
"348",5,2,34.6,0.168903762167332
"349",7,2,41.1,-0.638572830317931
"350",4,2,36.4,0.537751094537143
"351",4,2,32.3,-1.30648556731191
"352",2,2,32.8,-1.92455407020187
"353",7,2,29.2,-1.95446061066428
"354",1,2,34.5,-2.04418023205154
